,100s,4 Wickets in Inn,50s,Balls Faced,Balls_Average,Bat_Average,Bowl_Strike_rate,Ducks,Economy_Rate,Innings,Maidens,Matches,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets,performance
622,0,0,0,53,37.33,12.5,54,0,4.15,4,1,6,2,0,27,25,112,47.17,3,64
623,0,0,0,183,29.8,8.38,36.4,2,4.91,9,1,11,1,0,30.2,67,149,36.61,5,77
624,0,0,3,749,27.14,22.28,33.43,1,4.87,26,1,28,1,0,39,557,190,74.37,7,80
625,2,0,6,1615,21.67,30.97,22,2,5.91,42,0,44,6,7,22,1115,130,69.04,6,92
626,1,0,4,1721,40.79,27.95,45.71,4,5.35,51,1,57,7,9,106.4,1230,571,71.47,14,60
627,0,0,2,1846,0,20.19,0,4,0,96,0,140,33,6,0,1272,0,68.91,0,20
628,0,0,0,20,0,0.5,0,1,0,2,0,2,0,1,0,1,0,5,0,2
629,0,0,10,1747,38.73,23.29,53.79,6,4.32,64,31,76,12,14,466.1,1211,2014,69.32,52,64
630,0,2,3,1215,34.06,23.49,37.44,6,5.46,55,19,64,14,0,299.3,963,1635,79.26,48,69
631,0,0,0,9,0,12,0,1,6.9,3,0,4,2,0,14.3,12,100,133.33,0,14
632,0,0,3,1089,0,19.42,0,2,0,39,0,42,3,12,4,699,0,64.19,0,20
633,0,0,0,808,0,13.09,0,5,0,65,0,94,22,0,0,563,0,69.68,0,15
634,0,0,3,460,0,26.08,0,1,0,13,0,13,1,11,7,313,0,68.04,0,32
635,0,0,0,11,0,1,0,0,0,2,0,2,0,1,0,2,0,18.18,0,2
636,12,0,43,7592,0,39.16,0,14,0,203,0,217,29,3,74,6813,0,89.74,0,68
637,0,2,2,780,37.98,23.7,41.46,1,5.5,43,13,58,10,0,345.3,782,1899,100.26,50,71
638,0,9,0,354,25.32,9.24,30.64,9,4.96,47,47,117,18,0,960,268,4761,75.71,188,90
639,0,2,1,404,40.43,19.7,43.2,0,5.62,23,5,34,3,0,252,394,1415,97.52,35,60
640,0,0,1,225,0,23.86,0,0,0,8,0,8,1,2,2,167,0,74.22,0,26
641,0,3,0,400,27.54,9,36.4,7,4.54,43,49,96,24,0,764.2,171,3470,42.75,126,81
642,0,0,1,469,24.88,21,35.38,0,4.22,15,1,18,3,6,47.1,252,199,53.73,8,91
643,0,0,0,4,42.5,0,69,0,3.7,1,1,3,1,0,23,2,85,50,2,58
644,2,0,10,2289,0,33.76,0,7,2,51,0,56,6,17,1,1519,2,66.36,0,52
645,0,0,1,436,41.27,31,49.27,1,5.03,20,1,24,9,0,90.2,341,454,78.21,11,58
646,0,0,0,15,39.71,1.75,47.14,2,5.05,6,2,9,2,0,55,7,278,46.67,7,62
647,0,0,0,75,36.75,6.5,49.5,0,4.45,5,1,5,1,0,33,26,147,34.67,4,68
648,0,0,0,16,0,7,0,0,0,1,0,1,0,0,2,7,0,43.75,0,9
649,0,0,1,325,0,21.75,0,1,0,8,0,8,0,5,5,174,0,53.54,0,22
650,0,0,0,1,31.5,0,30,0,6.3,1,1,2,1,0,10,1,63,100,2,73
651,0,3,0,197,38.72,2.3,42.81,7,5.43,39,41,80,19,0,627.5,46,3407,23.35,88,64
652,0,0,0,45,86.67,7.6,112,1,4.64,6,4,6,1,0,56,38,260,84.44,3,14
653,0,0,4,1115,47.5,22.71,64.5,1,4.42,37,0,40,6,11,21.3,704,95,63.14,2,53
654,0,0,2,673,28.59,17.17,36.36,4,4.72,34,31,46,4,6,339.2,515,1601,76.52,56,81
655,0,2,16,5130,30.92,25.27,43.74,6,4.24,115,43,122,10,91,808.5,2653,3432,51.72,111,75
656,0,0,0,90,0,9.17,0,0,0,6,0,6,0,3,0,55,0,61.11,0,11
657,0,0,2,681,0,25.76,0,0,0,23,0,23,2,0,7,541,0,79.44,0,40
658,0,0,0,54,6,13.5,24,0,1.5,3,1,4,1,0,4,27,6,50,1,15
659,0,3,0,41,18.15,6.67,29.11,3,3.74,10,22,25,4,0,228,40,853,97.56,47,91
660,0,0,0,2,49,0,87,0,3.38,1,2,3,1,0,29,2,98,100,2,51
661,0,1,1,650,32.7,23.64,41.74,2,4.7,18,16,20,4,0,160,331,752,50.92,23,72
662,0,0,0,11,31,0,37.2,0,5,2,0,4,2,0,31,15,155,136.36,5,74
663,0,0,0,78,34.38,14.25,35.25,0,5.85,7,0,8,3,0,47,57,275,73.08,8,68
664,0,0,1,603,0,20.08,0,2,0,24,0,24,0,9,5,482,0,79.93,0,20
665,0,0,0,11,0,1,0,0,6.4,1,2,1,0,0,10,1,64,9.09,0,3
666,0,2,0,237,27.43,5.73,42.84,6,3.84,25,48,50,10,0,449.5,86,1728,36.29,63,81
667,0,0,0,7,0,3,0,0,6.48,2,0,2,1,0,10.2,3,67,42.86,0,5
668,0,0,0,52,36.5,4.33,54.25,1,4.04,4,3,5,1,0,36.1,13,146,25,4,69
669,0,0,0,29,0,7.5,0,0,0,2,0,2,0,1,2,15,0,51.72,0,9
670,0,0,0,16,0,9,0,0,4.94,2,1,2,0,0,18,18,89,112.5,0,11
671,0,0,7,1086,67.43,24.91,78,6,5.19,47,1,51,1,27,91,1146,472,105.52,7,33
672,0,0,1,529,0,29.31,0,2,0,16,0,16,3,2,9,381,0,72.02,0,38
673,0,3,0,325,29.65,8.41,35.42,9,5.02,32,23,40,10,0,336.3,185,1690,56.92,57,77
674,0,25,0,869,23.08,6.81,35.23,25,3.93,162,198,350,63,0,3135.1,674,12326,77.56,534,94
675,0,0,1,145,0,15,0,2,0,6,0,6,0,0,0,90,0,62.07,0,17
676,0,0,0,130,38.97,8,49.03,1,4.77,17,9,31,8,0,237,72,1130,55.38,29,62
677,0,0,0,118,0,11.6,0,0,0,7,0,8,2,0,0,58,0,49.15,0,13
678,0,0,0,132,0,9,0,1,0,7,0,10,2,0,0,45,0,34.09,0,11
679,0,0,0,17,0,3,0,0,0,1,0,1,0,1,0,3,0,17.65,0,5
680,0,0,2,463,0,24.58,0,0,0,18,0,26,6,1,0,295,0,63.71,0,28
681,0,0,5,929,0,22.6,0,4,0,36,0,55,6,14,2,678,0,72.98,0,24
682,0,0,0,178,0,27,0,0,0,5,0,5,1,0,0,108,0,60.67,0,34
683,0,4,0,251,31,7.67,41.64,5,4.47,30,36,47,9,0,402.3,161,1798,64.14,58,73
684,0,0,1,382,0,21.71,0,1,5.5,15,0,15,1,1,2,304,11,79.58,0,22
685,6,0,32,6930,0,34.43,0,10,0,187,0,201,31,1,2,5371,0,77.5,0,56
686,0,0,0,690,51.74,16.36,70.11,4,4.43,25,19,28,3,0,222,360,983,52.17,19,49
687,0,4,0,697,33.3,9.5,46.85,10,4.26,76,51,144,34,0,1257.1,399,5361,57.25,161,71
688,0,0,1,353,0,34.83,0,0,3.29,9,0,10,3,0,7,209,23,59.21,0,56
689,0,5,0,113,21.66,9.5,27.49,2,4.73,21,19,43,15,0,352.5,57,1668,50.44,77,91
690,0,0,1,252,0,23.3,0,0,0,10,0,10,0,10,0,233,0,92.46,0,26
